ACCESSION_NUMBER,HOLDING_ID,ISSUER_NAME,ISSUER_LEI,ISSUER_TITLE,ISSUER_CUSIP,BALANCE,UNIT,OTHER_UNIT_DESC,CURRENCY_CODE,CURRENCY_VALUE,EXCHANGE_RATE,PERCENTAGE,PAYOFF_PROFILE,ASSET_CAT,OTHER_ASSET,ISSUER_TYPE,OTHER_ISSUER,INVESTMENT_COUNTRY,IS_RESTRICTED_SECURITY,FAIR_VALUE_LEVEL,DERIVATIVE_CAT
0001752724-25-207047,152969163,New Oriental Education & Technology Group Inc,529900NHZVBZQZ8EKN29,"New Oriental Education & Technology Group, Inc",G6470A116,265044,NS,,HKD,1431303.71,7.84995,0.004489998396,Long,EC,,CORP,,HK,N,2,
0001752724-25-207047,152970319,Northern Trust Corporation,549300GLF98S992BC502,Northern Trust Corporation,RPEP0DZM2,137500000,PA,,USD,137500000,,0.431337371092,Long,RA,,CORP,,US,N,2,
0001752724-25-207047,152967997,Isoftstone Information Technology Group Co Ltd,,Isoftstone Information Technology Group Co Ltd,Y417DH107,14250,NS,,CNY,108714.71,7.1655,0.000341037943,Long,EC,,CORP,,CN,N,2,
0001752724-25-207047,152968140,SinoPac Financial Holdings Co Ltd,,SinoPac Financial Holdings Co Ltd,Y8009U100,2299380,NS,,TWD,1904439.13,29.212,0.005974223765,Long,EC,,CORP,,TW,N,2,
0001752724-25-207047,152968258,Enel Americas SA,549300LKH11TFCJLZK20,Enersis S.A.,P37186106,4421061,NS,,CLP,430657.49,931.625,0.001350972142,Long,EC,,CORP,,CL,N,1,
0001752724-25-207047,152967355,Atlassian Corp,549300V7ZY5P02D2MY38,Atlassian Corp Ltd,049468101,9890,NS,,USD,2008560.1,,0.00630085115,Long,EC,,CORP,,US,N,1,
0001752724-25-207047,152970409,Philip Morris International Inc,HL3H1H2BGXWVG3BSWR90,"Philip Morris International, Inc",718172109,849105,NS,,USD,154647493.65,,0.485129042596,Long,EC,,CORP,,US,N,1,
0001752724-25-207047,152969386,Dallah Healthcare Co,,Dallah Healthcare Co,M2057N103,2666,NS,,SAR,92824.47,3.7505,0.000291190275,Long,EC,,CORP,,SA,N,2,
0001752724-25-207047,152970638,Industrial Bank of Korea,988400RBIWE3YA18PK12,Industrial Bank of Korea,Y3994L108,59187,NS,,KRW,799381.24,1349.6,0.0025076582,Long,EC,,CORP,,KR,N,2,
0001752724-25-207047,152968896,Healthpeak Properties Inc,254900M6MTMZM0I22L81,"Healthpeak Properties, Inc",42250P103,196150,NS,,USD,3434586.5,,0.01077429463,Long,EC,,CORP,,US,N,1,
