ACCESSION_NUMBER,HOLDING_ID,ISSUER_NAME,ISSUER_LEI,ISSUER_TITLE,ISSUER_CUSIP,BALANCE,UNIT,OTHER_UNIT_DESC,CURRENCY_CODE,CURRENCY_VALUE,EXCHANGE_RATE,PERCENTAGE,PAYOFF_PROFILE,ASSET_CAT,OTHER_ASSET,ISSUER_TYPE,OTHER_ISSUER,INVESTMENT_COUNTRY,IS_RESTRICTED_SECURITY,FAIR_VALUE_LEVEL,DERIVATIVE_CAT
0001752724-25-204874,152746081,THE NHP FOUNDATION,,NHP Foundation,62925MAA1,1925000,PA,,USD,2012626,,0.009424785092,Long,DBT,,MUN,,US,N,2,
0001752724-25-204874,152747392,PUBLIC SERVICE ELECTRIC,549300RUHPVD434XUK18,Public Service Electric and Gas Co,74456QCJ3,1651000,PA,,USD,1509591.26,,0.007069159,Long,DBT,,CORP,,US,N,2,
0001752724-25-204874,152746249,INT DEVELOPMENT FIN CORP,254900QI8QTIK0FY6E92,United States International Development Finance Corp,90376PBH3,7271855.9,PA,,USD,5959999.86,,0.0279096652,Long,DBT,,USGSE,,US,N,2,
0001752724-25-204874,152745922,COMCAST CORP,51M0QTTNCGUN7KFCFZ59,Comcast Corp,20030NEC1,11250000,PA,,USD,11180072.59,,0.052354377555,Long,DBT,,CORP,,US,N,2,
0001752724-25-204874,152746192,Freddie Mac,S6XOOCT0IEG5ABCC6L87,Freddie Mac Pool,3133BEXK4,8021815.99,PA,,USD,7686512.75,,0.035994631283,Long,ABS-MBS,,USGSE,,US,N,2,
0001752724-25-204874,152747403,Goodman Group,,Goodman Group,Q4229W132,702072,NS,,AUD,15827944.57,1.51941,0.074119571163,Long,EC,,CORP,,AU,N,2,
0001752724-25-204874,152745204,GS Mortgage-Backed Securities,,GS Mortgage-Backed Securities Trust,362925CB3,4860394.8,PA,,USD,4112925.38,,0.019260129705,Long,ABS-CBDO,,CORP,,US,Y,2,
0001752724-25-204874,152745630,NIAGARA MOHAWK POWER,3T97Y9RR5EN5Y18QHB56,Niagara Mohawk Power Corp,65364UAN6,13000000,PA,,USD,11476633.61,,0.05374312235,Long,DBT,,CORP,,US,Y,2,
0001752724-25-204874,152746822,Sysco Corp,5RGWIFLMGH3YS7KWI652,SYSCO Corp,871829BS5,10625000,PA,,USD,11077655.49,,0.051874775703,Long,DBT,,CORP,,US,N,2,
0001752724-25-204874,152745648,Tesla Auto Lease Trust,,Tesla Auto Lease Trust,88167PAC2,804293.3,PA,,USD,805076.2,,0.003770034854,Long,ABS-O,,CORP,,US,Y,2,
0001752724-25-204874,152747827,THIRAX 2 LLC,,Thirax 2 LLC,88411JAA4,3023578.6,PA,,USD,2756196.02,,0.012906796971,Long,DBT,,CORP,,US,N,2,
0001752724-25-204874,152746205,MIDAMERICAN ENERGY CO,NINLOILYRTLIMK26MZ18,MidAmerican Energy Co,595620AT2,7511000,PA,,USD,7366234.64,,0.034494823392,Long,DBT,,CORP,,US,N,2,
0001752724-25-204874,152746359,Home Depot Inc/The,QEKMOTMBBKA8I816DO57,"Home Depot, Inc",437076102,346345,NS,,USD,126983930.8,,0.594644140554,Long,EC,,CORP,,US,N,1,
0001752724-25-204874,152744966,3M Co,LUZQVYP4VS22CLWDAR65,3M Co,88579Y101,3206,NS,,USD,488081.44,,0.002285602332,Long,EC,,CORP,,US,N,1,
0001752724-25-204874,152745184,SALVATION ARMY,549300UQ1LCLSQQ6V491,Salvation Army,795830AV0,1505000,PA,,USD,1514959.94,,0.007094299615,Long,DBT,,CORP,,US,N,2,
0001752724-25-204874,152747584,State of Oregon,549300R5SUGZRD8KP359,State of Oregon,68609UNU5,3770000,PA,,USD,3885426.84,,0.018194792753,Long,DBT,,MUN,,US,N,2,
0001752724-25-204874,152745442,WISCONSIN ST GEN FUND ANNUAL A,549300VTAT608CNZ5827,State of Wisconsin,977100AC0,3000,PA,,USD,3036.58,,1.4219787e-05,Long,DBT,,MUN,,US,N,2,
0001752724-25-204874,152745163,JP Morgan Mortgage Trust,,JP Morgan Mortgage Trust,46653QBP9,1592456.85,PA,,USD,1291309.88,,0.00604698444,Long,ABS-CBDO,,CORP,,US,Y,2,
0001752724-25-204874,152747282,Essity AB,549300G8E6YUVJ1DA153,Essity AB,W3R06F100,301410,NS,,SEK,8345697.71,9.4609,0.039081482285,Long,EC,,CORP,,SE,N,2,
0001752724-25-204874,152745494,Fannie Mae,B1V7KEBTPIMZEU4LTD58,Fannie Mae Pool,3140QEDU3,9688037.18,PA,,USD,8591837.13,,0.040234111306,Long,ABS-MBS,,USGSE,,US,N,2,
0001752724-25-204874,152745977,Lloyds Banking Group PLC,549300PPXHEU2JF0AM85,Lloyds Banking Group plc,539439BE8,3250000,PA,,USD,3341322.01,,0.015646842418,Long,DBT,,CORP,,GB,N,2,
0001752724-25-204874,152747641,PRSVN OF AFFORD HOUSING,,"Preservation Of Affordable Housing, Inc",74082VAA5,9770000,PA,,USD,9158539.67,,0.042887882872,Long,DBT,,CORP,,US,N,2,
0001752724-25-204874,152745882,RCKT Mortgage Trust 2022-3,,RCKT Mortgage Trust,74938XBU2,1192294.46,PA,,USD,989169.81,,0.004632113904,Long,ABS-CBDO,,CORP,,US,Y,2,
0001752724-25-204874,152745941,Ameriprise Financial Inc,6ZLKQF7QB6JAEKQS5388,"Ameriprise Financial, Inc",03076C106,135711,NS,,USD,72433032.03,,0.339191563907,Long,EC,,CORP,,US,N,1,
0001752724-25-204874,152746001,PORT LIONS AK REVENUE,,City of Port Lions AK,734707AB8,3025000,PA,,USD,3143415.74,,0.014720081031,Long,DBT,,MUN,,US,N,2,
0001752724-25-204874,152746550,Trade Desk Inc/The,549300GXPD31VT3E0P46,"Trade Desk, Inc",88339J105,3509,NS,,USD,252612.91,,0.001182943273,Long,EC,,CORP,,US,N,1,
0001752724-25-204874,152745619,Starbucks Corp,OQSJ1DU9TAOC51A47K68,Starbucks Corp,855244109,691127,NS,,USD,63327967.01,,0.296554093722,Long,EC,,CORP,,US,N,1,
0001752724-25-204874,152746239,GS Mortgage-Backed Securities,,GS Mortgage-Backed Securities Trust,36258FAS8,386661.27,PA,,USD,341219.99,,0.001597875151,Long,ABS-CBDO,,CORP,,US,Y,2,
0001752724-25-204874,152745335,Oversea-Chinese Banking Corp Ltd,5493007O3QFXCPOGWK22,Oversea-Chinese Banking Corp,Y64248209,1545767,NS,,SGD,19821858.35,1.2715,0.092822389797,Long,EC,,CORP,,SG,N,2,
