ACCESSION_NUMBER,HOLDING_ID,ISSUER_NAME,ISSUER_LEI,ISSUER_TITLE,ISSUER_CUSIP,BALANCE,UNIT,OTHER_UNIT_DESC,CURRENCY_CODE,CURRENCY_VALUE,EXCHANGE_RATE,PERCENTAGE,PAYOFF_PROFILE,ASSET_CAT,OTHER_ASSET,ISSUER_TYPE,OTHER_ISSUER,INVESTMENT_COUNTRY,IS_RESTRICTED_SECURITY,FAIR_VALUE_LEVEL,DERIVATIVE_CAT
0001084380-25-000126,155287646,Comcast Corp,51M0QTTNCGUN7KFCFZ59,Comcast Corp (Class A),20030N101,791323,NS,,USD,26295663.29,,0.414316893852,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287726,KKR & Co Inc,54930013V5I303TF9571,"KKR & Co, Inc",48251W104,351255,NS,,USD,51486957.9,,0.811233253018,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287813,Home Depot Inc/The,QEKMOTMBBKA8I816DO57,"Home Depot, Inc",437076102,212161,NS,,USD,77971289.11,,1.228522816003,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287639,Lam Research Corp,549300I4GMO6D34U1T02,Lam Research Corp,512807306,519641,NS,,USD,49282752.44,,0.77650358868,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287826,Honeywell International Inc,ISRPG12PN4EIEOEMW547,"Honeywell International, Inc",438516106,319747,NS,,USD,71095745.45,,1.120191116538,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287868,Fiserv Inc,GI7UBEJLXYLGR2C7GV83,"Fiserv, Inc",337738108,321038,NS,,USD,44605019.72,,0.702800800907,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287874,STATE STREET BANK AND TRUST COMPANY,,Fixed Income Clearing Corporation,85748R009,35219000,PA,,USD,35219000,,0.554913809309,Long,RA,,CORP,,US,N,2,
0001084380-25-000126,155287743,American Electric Power Co Inc,1B4S6S7G0TW5EE83BO58,"American Electric Power Co, Inc",025537101,575708,NS,,USD,65135603.12,,1.02628256478,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287755,Bank of America Corp,9DJT3UXIJIZJI4WXO774,Bank of America Corp,060505104,2998492,NS,,USD,141738716.84,,2.233248283266,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287773,DuPont de Nemours Inc,5493004JF0SDFLM8GD76,"DuPont de Nemours, Inc",26614N102,891572,NS,,USD,64104026.8,,1.010028953226,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287791,Alphabet Inc,5493006MHB84DD0ZWV18,"Alphabet, Inc",02079K107,938814,NS,,USD,181059668.04,,2.852792813663,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287846,RTX Corp,I07WOS4YJ0N7YRFE7309,RTX Corp,75513E101,842577,NS,,USD,132764857.89,,2.091855334739,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287796,Broadcom Inc,549300WV6GIDOZJTV909,"Broadcom, Inc",11135F101,175798,NS,,USD,51631872.6,,0.813516542385,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287871,NXP Semiconductors NV,724500M9BY5293JDF951,NXP Semiconductors NV,N6596X109,238952,NS,,USD,51080769.04,,0.804833303911,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287625,NVR Inc,529900RWXR4JI3JYTV70,"NVR, Inc",62944T105,9788,NS,,USD,73894408.12,,1.164287103454,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287662,Analog Devices Inc,GYVOE5EZ4GDAVTU4CQ61,"Analog Devices, Inc",032654105,268965,NS,,USD,60417607.95,,0.951945398134,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287856,Meta Platforms Inc,BQ4BKCS1HXDV9HN80Z93,"Meta Platforms, Inc",30303M102,39641,NS,,USD,30659935.04,,0.483080761697,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287779,Masco Corp,5GCSNMQXHEYA1JO8QN11,Masco Corp,574599106,609029,NS,,USD,41493145.77,,0.653769828202,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287817,Hilton Worldwide Holdings Inc,549300HVGPK36ICB0B89,"Hilton Worldwide Holdings, Inc",43300A203,243409,NS,,USD,65253084.72,,1.028133615695,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287853,AbbVie Inc,FR5LCKFTG8054YNNRU85,"AbbVie, Inc",00287Y109,276376,NS,,USD,52240591.52,,0.823107573779,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287885,Micron Technology Inc,B3DXGBC8GAIYWI2Z0172,"Micron Technology, Inc",595112103,420660,NS,,USD,45910832.4,,0.723375305819,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287735,STATE STR NAVIGATOR SECS L TR,,State Street Navigator Securities Lending Government Money Market Portfolio,857509301,0,NS,,USD,0,,0.0,Long,STIV,,RF,,US,N,1,
0001084380-25-000126,155287738,FedEx Corp,549300E707U7WNPZN687,FedEx Corp,31428X106,121023,NS,,USD,27047430.27,,0.426161803661,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287741,Procter & Gamble Co/The,2572IBTT8CCZW6AU4141,Procter & Gamble Co,742718109,714164,NS,,USD,107460257.08,,1.693153712645,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287749,T-Mobile US Inc,549300QHIJYOHPACPG31,"T-Mobile US, Inc",872590104,186682,NS,,USD,44506855.62,,0.701254118302,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287619,Eaton Corp PLC,549300VDIGTMXUNT7H71,Eaton Corp plc,G29183103,319529,NS,,USD,122929196.88,,1.936883753543,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287681,Reliance Inc,549300E287ZOFT3C5Z56,Reliance Steel & Aluminum Co,759509102,141006,NS,,USD,40910070.78,,0.644582844931,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287708,Fifth Third Bancorp,THRNG6BD57P9QWTQLG42,Fifth Third Bancorp,316773100,1008667,NS,,USD,41930287.19,,0.660657468697,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287758,Dover Corp,549300FMC2ALGA7N9E80,Dover Corp,260003108,422227,NS,,USD,76482198.78,,1.205060571549,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287764,MetLife Inc,C4BXATY60WC6XEOZDX54,"Metlife, Inc",59156R108,833794,NS,,USD,63326654.3,,0.997780600484,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287801,Union Pacific Corp,549300LMMRSZZCZ8CL11,Union Pacific Corp,907818108,412463,NS,,USD,91554412.11,,1.442539753629,Long,EC,,CORP,,US,N,1,
0001084380-25-000126,155287811,Oracle Corp,1Z4GXXU7ZHVWFCD8TV52,Oracle Corp,68389X105,74335,NS,,USD,18863992.95,,0.297222811172,Long,EC,,CORP,,US,N,1,
