ACCESSION_NUMBER,HOLDING_ID,ISSUER_NAME,ISSUER_LEI,ISSUER_TITLE,ISSUER_CUSIP,BALANCE,UNIT,OTHER_UNIT_DESC,CURRENCY_CODE,CURRENCY_VALUE,EXCHANGE_RATE,PERCENTAGE,PAYOFF_PROFILE,ASSET_CAT,OTHER_ASSET,ISSUER_TYPE,OTHER_ISSUER,INVESTMENT_COUNTRY,IS_RESTRICTED_SECURITY,FAIR_VALUE_LEVEL,DERIVATIVE_CAT
0000736054-25-000079,155035421,Fuso Chemical Co Ltd,,FUSO CHEMICAL CO,,267129,NS,,JPY,7568987.02,.006631,0.001497586907,Long,EC,,CORP,,JP,N,2,
0000736054-25-000079,155065951,Sumitomo Warehouse Co Ltd/The,,SUMITOMO WAREHOU,,778216,NS,,JPY,16141138.78,.006631,0.003193658285,Long,EC,,CORP,,JP,N,2,
0000736054-25-000079,155060271,Alony Hetz Properties & Investments Ltd,213800PNXOBRJDRRDC27,ALONY HETZ PROP,M0867F104,2336910,NS,,ILS,24360221.28,.294343,0.00481987198,Long,EC,,CORP,,IL,N,2,
0000736054-25-000079,155065932,Liontown Resources Ltd,529900LT0V2IEL7WZY56,LIONTOWN RESOURC,,26920750,NS,,AUD,13292398.16,.64265,0.002630011308,Long,EC,,CORP,,AU,N,2,
0000736054-25-000079,155054517,Wilmar International Ltd,549300H2EAI4YRLWBB20,WILMAR INTERNATI,,25711055,NS,,SGD,58193338.52,.770179,0.011514035055,Long,EC,,CORP,,SG,N,2,
0000736054-25-000079,155054813,NS United Kaiun Kaisha Ltd,353800MK2Y7X2PZGXN23,NS UNITED KAIUN,,136103,NS,,JPY,3777132.16,.006631,0.000747336949,Long,EC,,CORP,,JP,N,2,
0000736054-25-000079,155046881,Jeol Ltd,,JEOL LTD,,606442,NS,,JPY,17349870.7,.006631,0.003432815929,Long,EC,,CORP,,JP,N,2,
0000736054-25-000079,155058551,Tomy Co Ltd,,TOMY COMPANY LTD,,1170531,NS,,JPY,24736610.95,.006631,0.0048943438,Long,EC,,CORP,,JP,N,2,
0000736054-25-000079,155065124,Shanghai Haoyuan Chemexpress Co Ltd,,SHANGHAI HAOYU-A,,210986,NS,,CNY,1617378.83,.139026,0.000320011826,Long,EC,,CORP,,CN,N,2,
0000736054-25-000079,155044517,Velesto Energy Bhd,254900CGVLWE3ATJAM97,VELESTO ENERGY B,,64315112,NS,,MYR,2709704.85,.234467,0.000536137596,Long,EC,,CORP,,MY,N,2,
0000736054-25-000079,155045384,Dr Sulaiman Al Habib Medical Services Group Co,,DR SULAIMAN AL H,,1473007,NS,,SAR,102883660.26,.266588,0.02035638616,Long,EC,,CORP,,SA,N,2,
0000736054-25-000079,155066140,Dizal Jiangsu Pharmaceutical Co Ltd,,DIZAL JIANGSU -A,,457775,NS,,CNY,4748913.52,.139026,0.000939611957,Long,EC,,CORP,,CN,N,2,
0000736054-25-000079,155043538,National Medical Care Co,,NATIONAL MEDICAL,,315332,NS,,SAR,13649319.29,.266588,0.002700631116,Long,EC,,CORP,,SA,N,2,
0000736054-25-000079,155056685,Telix Pharmaceuticals Ltd,894500HTWOOGIHLLSB86,TELIX PHARMA,,3897820,NS,,AUD,52219864.19,.64265,0.010332133576,Long,EC,,CORP,,AU,N,2,
0000736054-25-000079,155037285,Societatea De Producere A Energiei Electrice in Hidrocentrale Hidroelectrica SA,787200IISRQXO9PRB732,SOCIETATEA DE PR,,1262881,NS,,RON,35348288.93,.224747,0.00699395237,Long,EC,,CORP,,RO,N,2,
0000736054-25-000079,155049302,Empresas Copec SA,549300Q3IDJYG6Z7PA50,EMPRESAS COPEC,,5737607,NS,,CLP,37984856.7,.001028,0.007515619188,Long,EC,,CORP,,CL,N,1,
0000736054-25-000079,155061676,Danone SA,969500KMUQ2B6CBAF162,DANONE,,9165532,NS,,EUR,750078876.87,1.1412,0.148409331759,Long,EC,,CORP,,FR,N,2,
0000736054-25-000079,155041093,Jindal Steel & Power Ltd,335800UIKQBF6QO2NP15,JINDAL STEEL & P,,5407445,NS,,INR,59282875.96,.011416,0.011729609081,Long,EC,,CORP,,IN,N,2,
0000736054-25-000079,155047816,Promate Electronic Co Ltd,,PROMATE ELEC,,3165563.7403,NS,,TWD,6303172.13,.033504,0.001247134924,Long,EC,,CORP,,TW,N,2,
0000736054-25-000079,155064597,Shanghai Mechanical and Electrical Industry Co Ltd,,SHANGHAI MECHA-B,,3360439,NS,,USD,3955334.36,,0.000782595734,Long,EC,,CORP,,CN,N,2,
0000736054-25-000079,155060998,Founder Technology Group Corp,,FOUNDER TECHNO-A,,4395200,NS,,CNY,3713834.32,.139026,0.000734812946,Long,EC,,CORP,,CN,N,2,
0000736054-25-000079,155044499,Subsea 7 SA,222100AIF0CBCY80AH62,SUBSEA 7 SA,,3289254,NS,,NOK,63742373.6,.096724,0.012611957705,Long,EC,,CORP,,NO,N,2,
0000736054-25-000079,155062904,FP Corp,,FP CORP,,611600,NS,,JPY,10903034.05,.006631,0.002157255786,Long,EC,,CORP,,JP,N,2,
0000736054-25-000079,155053910,OFX Group Ltd,,OFX GROUP LTD,,3122252,NS,,AUD,1661137.37,.64265,0.000328669816,Long,EC,,CORP,,AU,N,2,
0000736054-25-000079,155064517,Gujarat Gas Ltd,335800BGVH85CIFRKY95,GUJARAT GAS LTD,,2563824,NS,,INR,12835909.32,.011416,0.002539691202,Long,EC,,CORP,,IN,N,2,
0000736054-25-000079,155051993,Richelieu Hardware Ltd,5493007VPNETW465DN04,RICHELIEU HARDW,76329W103,26900,NS,,CAD,673082.42,.721709,0.000133174943,Long,EC,,CORP,,CA,N,1,
0000736054-25-000079,155047087,Shanghai Wanye Enterprises Co Ltd,836800MK629APOO1ES68,SHANGHAI WANYE-A,,898000,NS,,CNY,1820239.08,.139026,0.00036014941,Long,EC,,CORP,,CN,N,2,
0000736054-25-000079,155047526,Travis Perkins PLC,2138001I27OUBAF22K83,TRAVIS PERKINS,G90202139,2964473,NS,,GBP,21239008.25,1.32065,0.004202314074,Long,EC,,CORP,,GB,N,2,
0000736054-25-000079,155052243,Ki-Star Real Estate Co Ltd,,KI-STAR REAL EST,,117100,NS,,JPY,3747316.86,.006631,0.000741437745,Long,EC,,CORP,,JP,N,2,
0000736054-25-000079,155054127,IRB Infrastructure Developers Ltd,335800XGO3AITGW6AK27,IRB INFRASTRUCTU,,29085570,NS,,INR,14858075.04,.011416,0.002939793474,Long,EC,,CORP,,IN,N,2,
0000736054-25-000079,155050335,Jenoptik AG,529900P34GDHGXK6VB37,JENOPTIK AG,,725106,NS,,EUR,15366489.81,1.1412,0.003040387557,Long,EC,,CORP,,DE,N,2,
0000736054-25-000079,155056378,INVISIO AB,54930054EB7KX3MY2Q11,INVISIO AB,,516807,NS,,SEK,16745113.62,.102153,0.003313159721,Long,EC,,CORP,,SE,N,2,
0000736054-25-000079,155051056,Acerinox SA,95980020140005582721,ACERINOX,,3345410,NS,,EUR,38604385.62,1.1412,0.007638198127,Long,EC,,CORP,,ES,N,2,
0000736054-25-000079,155055659,Shiseido Co Ltd,5299008QCD0YDT5OF506,SHISEIDO CO LTD,,5777940,NS,,JPY,93923479.87,.006631,0.018583540096,Long,EC,,CORP,,JP,N,2,
0000736054-25-000079,155061498,Arafura Rare Earths Ltd,52990098Y7ZDAOS75K52,ARAFURA RARE EAR,,34415453,NS,,AUD,3835163.71,.64265,0.000758818973,Long,EC,,CORP,,AU,N,2,
0000736054-25-000079,155047540,IDBI Bank Ltd,335800UL1OJYBFEAPY30,IDBI BANK LTD,,8174403,NS,,INR,8600981.71,.011416,0.001701775623,Long,EC,,CORP,,IN,N,2,
0000736054-25-000079,155047792,Xiangyu Medical Co Ltd,,XIANGYU MEDICA-A,,147114,NS,,CNY,940633.56,.139026,0.000186112157,Long,EC,,CORP,,CN,N,2,
0000736054-25-000079,155062054,Eva Airways Corp,254900S1P4XOXV67GC07,EVA AIRWAYS,,38909943,NS,,TWD,49061547.43,.033504,0.00970723439,Long,EC,,CORP,,TW,N,2,
0000736054-25-000079,155043989,USI Corp,,USI,,10061641,NS,,TWD,3639365.54,.033504,0.00072007868,Long,EC,,CORP,,TW,N,2,
0000736054-25-000079,155049433,Europower Enerji VE Otomasyon Teknolojileri Sanayi Ticaret AS,789000KNKC2JLZ17R660,EUROPOWER ENERJI,,3586921,NS,,TRY,2746243.61,.024634,0.000543367093,Long,EC,,CORP,,TR,N,2,
0000736054-25-000079,155054940,Telecom Italia SpA/Milano,549300W384M3RI3VXU42,TELECOM ITALIA S,,156408832,NS,,EUR,71874981.6,1.1412,0.014221061702,Long,EC,,CORP,,IT,N,2,
0000736054-25-000079,155065208,Hang Lung Group Ltd,529900V2T2EPOQYH0981,HANG LUNG GROUP,,12207649,NS,,HKD,22054813.1,.127389,0.004363727836,Long,EC,,CORP,,HK,N,2,
0000736054-25-000079,155052699,First National Financial Corp,549300L96UOMCR0MJU30,FIRST NATIONAL F,33564P103,237862,NS,,CAD,8279506.54,.721709,0.001638169092,Long,EC,,CORP,,CA,N,1,
0000736054-25-000079,155057854,Theme International Holdings Ltd,254900DDY9OP9TPSE246,THEME INTL HLDGS,,68560416,NS,,HKD,7337228.73,.127389,0.001451731606,Long,EC,,CORP,,HK,N,2,
0000736054-25-000079,155058019,PhosAgro PJSC,25340053KRUNNYUWF472,PHOSAGRO PJSC-GDR REG S - Temp Line (APR 2022),,8608,NS,,USD,.09,,1.7e-11,Long,EC,,CORP,,GB,N,3,
0000736054-25-000079,155063807,Qingdao Rural Commercial Bank Corp,300300C1194637000087,QINGDAO RURAL -A,,5008125,NS,,CNY,2434263.49,.139026,0.000481639236,Long,EC,,CORP,,CN,N,2,
0000736054-25-000079,155044790,Jiangsu Suzhou Rural Commercial Bank Co Ltd,300300C1115832000030,JIANGSU SUZHOU R,,1966960,NS,,CNY,1458515.02,.139026,0.000288579302,Long,EC,,CORP,,CN,N,2,
0000736054-25-000079,155055718,Standard Bank Group Ltd,2549003PEZXUT7MDBU41,STANDARD BANK GR,,19020821,NS,,ZAR,244749952.13,.054896,0.048425809556,Long,EC,,CORP,,ZA,N,2,
0000736054-25-000079,155042085,Zhongtai Securities Co Ltd,300300E1012137000054,ZHONGTAI SECUR-A,,5807155,NS,,CNY,5379006.72,.139026,0.001064281127,Long,EC,,CORP,,CN,N,2,
0000736054-25-000079,155045789,Krishna Institute of Medical Sciences Ltd,254900JA6LS4UY2ZCR81,KRISHNA INSTITUT,,3268643,NS,,INR,27981276.57,.011416,0.005536327825,Long,EC,,CORP,,IN,Y,2,
0000736054-25-000079,155047928,Xinhua Winshare Publishing and Media Co Ltd,529900GRONU6MXRSA398,XINHUA WINSHAR-H,,4416720,NS,,HKD,6608345.78,.127389,0.001307516064,Long,EC,,CORP,,HK,N,2,
0000736054-25-000079,155055495,Marketech International Corp,2549004A0CNQ3K1DFZ53,MARKETECH INTL,,1191000,NS,,TWD,8109281.84,.033504,0.001604488722,Long,EC,,CORP,,TW,N,2,
0000736054-25-000079,155048512,Huayi Brothers Media Corp,300300O0S2OYX08A4528,HUAYI BROTHERS-A,,2624300,NS,,CNY,1010576.72,.139026,0.000199950992,Long,EC,,CORP,,CN,N,2,
0000736054-25-000079,155061345,Henan Mingtai Al Industrial Co Ltd,655600KWQTOJQH779C73,HENAN MINGTAI -A,,1237298,NS,,CNY,2119670.55,.139026,0.000419394412,Long,EC,,CORP,,CN,N,2,
0000736054-25-000079,155050300,Inversiones Aguas Metropolitanas SA,,AGUAS METROPOLIT,,6110343,NS,,CLP,5184126.05,.001028,0.001025722369,Long,EC,,CORP,,CL,N,1,
0000736054-25-000079,155037135,Jiangxi Zhengbang Technology Co Ltd,30030098MS5Y5GREO955,JIANGXI ZHENGB-A,,9516100,NS,,CNY,3737829.16,.139026,0.000739560524,Long,EC,,CORP,,CN,N,2,
0000736054-25-000079,155061979,FIT Hon Teng Ltd,3003001IDFNIKMGLFJ67,FIT HON TENG LTD,,24152576,NS,,HKD,8129889.23,.127389,0.001608566065,Long,EC,,CORP,,HK,Y,2,
0000736054-25-000079,155061072,Zhejiang Construction Investment Group Co Ltd,,ZHEJIANG CONST-A,,988000,NS,,CNY,1314497.52,.139026,0.000260084245,Long,EC,,CORP,,CN,N,2,
0000736054-25-000079,155038257,Daehan Flour Mill Co Ltd,,DAEHAN FLOUR,,4692,NS,,KRW,510736.1,.000721,0.000101053376,Long,EC,,CORP,,KR,N,2,
0000736054-25-000079,155056917,Wynn Macau Ltd,254900NMDQ8ENTHU1I31,WYNN MACAU LTD,,21667719,NS,,HKD,17958439.99,.127389,0.003553226414,Long,EC,,CORP,,HK,N,2,
0000736054-25-000079,155048966,Unilumin Group Co Ltd,,UNILUMIN GROUP-A,,1040977,NS,,CNY,1024835.92,.139026,0.000202772293,Long,EC,,CORP,,CN,N,2,
0000736054-25-000079,155050903,Hunan Jiudian Pharmaceutical Co Ltd,,HUNAN JIUDIAN PH,,494900,NS,,CNY,1266385.42,.139026,0.000250564866,Long,EC,,CORP,,CN,N,2,
