ACCESSION_NUMBER,HOLDING_ID,ISSUER_NAME,ISSUER_LEI,ISSUER_TITLE,ISSUER_CUSIP,BALANCE,UNIT,OTHER_UNIT_DESC,CURRENCY_CODE,CURRENCY_VALUE,EXCHANGE_RATE,PERCENTAGE,PAYOFF_PROFILE,ASSET_CAT,OTHER_ASSET,ISSUER_TYPE,OTHER_ISSUER,INVESTMENT_COUNTRY,IS_RESTRICTED_SECURITY,FAIR_VALUE_LEVEL,DERIVATIVE_CAT
0000036405-25-000128,153212753,Worthington Steel Inc,2549009ZUUWL3QLK6G24,WORTHINGTON STEE,982104101,1231032,NS,,USD,36721684.56,,0.001923155496,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153216976,Rave Restaurant Group Inc,,RAVE RESTAURANT,754198109,93224,NS,,USD,256366,,1.3426172e-05,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153215214,Roper Technologies Inc,54930003T4SXCIWVXY35,ROPER TECHNOLOGI,776696106,3458841,NS,,USD,1960609432.44,,0.102679298414,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153212352,Performant Financial Corp,,PERFORMANT HEALT,71377E105,2207671,NS,,USD,8830684,,0.00046247275,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153209948,Axis Capital Holdings Ltd,635400VD2NQBYAHMEM55,AXIS CAPITAL,G0692U109,2384633,NS,,USD,247572598.06,,0.012965652543,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153215586,Cerence Inc,5493002WL2W5WMS89568,CERENCE INC,156727109,1272905,NS,,USD,12996360.05,,0.000680633842,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153213734,Federal Agricultural Mortgage Corp,549300MS654K78GYF580,FED AGRI MTG-C,313148306,291604,NS,,USD,56652825.12,,0.002966971514,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153214319,Everspin Technologies Inc,549300MNDRV7X6PEDF15,EVERSPIN TECHNOL,30041T104,599459,NS,,USD,3770597.11,,0.000197470367,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153212461,MiNK Therapeutics Inc,,MINK THERAPEUTIC,603693201,15149,NS,,USD,113314.52,,5.934407e-06,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153215497,Neuronetics Inc,549300T0911ILTTG7P06,NEURONETICS INC,64131A105,1806807,NS,,USD,6305756.43,,0.000330239483,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153209723,Goosehead Insurance Inc,549300WH5MBIWHJ9XY95,GOOSEHEAD INSU-A,38267D109,772737,NS,,USD,81531480.87,,0.004269894409,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153215860,Take-Two Interactive Software Inc,BOMSTHHJK882EWYX3334,TAKE-TWO INTERAC,874054109,5532019,NS,,USD,1343450814.15,,0.070358014588,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153217602,Southwest Airlines Co,UDTZ87G0STFETI6HGH41,SOUTHWEST AIR,844741108,18316094,NS,,USD,594174089.36,,0.03111755846,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153215930,iRadimed Corp,549300YVHWP0YJ1YW816,IRADIMED CORP,46266A109,260303,NS,,USD,15563516.37,,0.000815078676,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153214791,NioCorp Developments Ltd,5299001QL26XJPOD3A17,NIOCORP DEVELOPM,654484609,1690552,NS,,USD,3938986.16,,0.000206289089,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153218320,Alphabet Inc,5493006MHB84DD0ZWV18,ALPHABET INC-A,02079K305,185966417,NS,,USD,32772861667.91,,1.716351246406,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153217304,Matrix Service Co,529900VYBKSX6HD2YW58,MATRIX SERVICE,576853105,837766,NS,,USD,11318218.66,,0.00059274771,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153211067,Liberty Broadband Corp,549300MIX43II8JLN536,LIBERTY BR-A,530307107,527635,NS,,USD,51613255.7,,0.002703043653,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153217940,Vera Bradley Inc,52990005Q6LEJKXO7M51,VERA BRADLEY INC,92335C106,762128,NS,,USD,1684302.88,,8.8208816e-05,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153212814,Murphy USA Inc,549300Y081F8XIKQIO72,MURPHY USA INC,626755102,571003,NS,,USD,232284020.4,,0.012164972713,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153212084,Nathan's Famous Inc,54930034SKNSF1JIE673,NATHANS FAMOUS,632347100,73258,NS,,USD,8100869.64,,0.00042425156,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153209620,WideOpenWest Inc,549300RM6J2BWWOFU889,WIDEOPENWEST INC,96758W101,1598960,NS,,USD,6491777.6,,0.000339981619,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153217238,Sysco Corp,5RGWIFLMGH3YS7KWI652,SYSCO CORP,871829107,15597290,NS,,USD,1181338744.6,,0.061868025052,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153217815,LeMaitre Vascular Inc,549300FZUBUB7MHY8R17,LEMAITRE VASCULA,525558201,655574,NS,,USD,54445420.7,,0.002851367287,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153217030,Angel Oak Mortgage REIT Inc,5493008M8D7W7VZZ7V36,ANGEL OAK MORTGA,03464Y108,538063,NS,,USD,5068553.46,,0.000265445786,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153216380,Williams-Sonoma Inc,549300IARG6YWVTZ1I92,WILLIAMS-SONOMA,969904101,3965555,NS,,USD,647852720.35,,0.033928768116,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153213429,Air Products and Chemicals Inc,7QEON6Y1RL5XR3R1W237,AIR PRODS & CHEM,009158106,7155538,NS,,USD,2018291048.28,,0.105700148843,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153217588,BTCS Inc,549300HVP35DWSOZOH21,BTCS INC - SPIN OFF,05581M503,280193,NS,,USD,2.8,,1.46e-10,Long,EC,,CORP,,US,N,3,
0000036405-25-000128,153209349,Teradyne Inc,C3X4YJ278QNZHRJULN75,TERADYNE INC,880770102,5159549,NS,,USD,463946646.08,,0.024297402293,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153209624,Cineverse Corp,549300QPGXUR8OY7KD24,CINEVERSE CORP,172406308,400503,NS,,USD,1914404.34,,0.000100259486,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153216432,Oscar Health Inc,,OSCAR HEALTH -A,687793109,6595360,NS,,USD,141404518.4,,0.007405512031,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153215970,Mid-America Apartment Communities Inc,549300FQZKFR5YNSHZ21,MID-AMERICA APAR,59522J103,3767497,NS,,USD,557627230.97,,0.029203558804,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153211306,Sarepta Therapeutics Inc,549300IKDPIED8J8IG21,SAREPTA THERAPEU,803607100,3025167,NS,,USD,51730355.7,,0.002709176311,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153211260,Pacific Premier Bancorp Inc,549300Q1KIC3KLI0XG98,PACIFIC PREMIER,69478X105,2976352,NS,,USD,62771263.68,,0.003287400952,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153216119,TransUnion,549300ZS772LUNUMRB03,TRANSUNION,89400J107,6283327,NS,,USD,552932776,,0.028957704971,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153217824,DiamondRock Hospitality Co,529900KKD4BPVBUAQ734,DIAMONDROCK HOSP,252784301,6825027,NS,,USD,52279706.82,,0.00273794644,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153216762,Knowles Corp,5493003EO323TDZQU148,KNOWLES CORP,49926D109,2725265,NS,,USD,48019169.3,,0.002514817348,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153217574,Ichor Holdings Ltd,529900PS8R2JVLJ2H892,ICHOR HOLDINGS L,G4740B105,1007705,NS,,USD,19791326.2,,0.001036493783,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153212706,Fathom Holdings Inc,,FATHOM HOLDINGS,31189V109,347914,NS,,USD,431413.36,,2.2593597e-05,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153214416,Independence Realty Trust Inc,549300Z3L8NU44NQEB29,INDEPENDENCE REA,45378A106,7410467,NS,,USD,131091161.23,,0.006865390036,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153217474,iHeartMedia Inc,,IHEARTMEDIA-CL A,45174J509,3366849,NS,,USD,5925654.24,,0.000310333108,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153216012,BlackSky Technology Inc,,BLACKSKY TECHNOL,09263B207,880098,NS,,USD,18112416.84,,0.000948567431,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153214429,Microchip Technology Inc,5493007PTFULNYZJ1R12,MICROCHIP TECH,595017104,17362911,NS,,USD,1221828047.07,,0.063988494893,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153209635,Bumble Inc,,BUMBLE INC-A,12047B105,1450668,NS,,USD,9559902.12,,0.000500662715,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153217126,NVIDIA Corp,549300S4KLFTLO7GSQ80,NVIDIA CORP,67066G104,745382412,NS,,USD,117762967271.88,,6.167377682966,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153216252,Onity Group Inc,549300DDD1YQ8EIAT278,ONITY GROUP INC,675746606,193496,NS,,USD,7385742.32,,0.000386799546,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153218203,Amneal Pharmaceuticals Inc,,AMNEAL PHARM INC,03168L105,5732702,NS,,USD,46377559.18,,0.002428844399,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153215700,Sunstone Hotel Investors Inc,529900ZQ2V52V96ATF67,SUNSTONE HOTEL,867892101,6502922,NS,,USD,56445362.96,,0.002956106489,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153216725,Agios Pharmaceuticals Inc,529900ONJHY8EOGYT555,AGIOS PHARMACEUT,00847X104,1847021,NS,,USD,61431918.46,,0.003217257952,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153215838,Rigel Pharmaceuticals Inc,529900KPTNUS5J8K9K66,RIGEL PHARMACEUT,766559702,548780,NS,,USD,10278649.4,,0.00053830431,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153218267,Inhibrx Inc,549300VBKG2LTV1TLY22,INHIBRX INC - CVR (MAY 2024),,1216278,NS,,USD,787540.01,,4.1244346e-05,Long,EC,,CORP,,US,N,3,
0000036405-25-000128,153214249,ACADIA Pharmaceuticals Inc,529900O3044NO0PEA039,ACADIA PHARMACEU,004225108,4024260,NS,,USD,86803288.2,,0.004545984827,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153215887,Fulcrum Therapeutics Inc,,FULCRUM THERAPEU,359616109,1852255,NS,,USD,12743514.4,,0.000667392034,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153216082,West Pharmaceutical Services Inc,5493007NKRGM1RJQ1P16,WEST PHARMACEUT,955306105,2310073,NS,,USD,505443972.4,,0.026470663465,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153215045,New Issuer: BB Company ID:71981917,,CALLAN JMB INC,131100109,952,NS,,USD,4864.72,,2.5477e-07,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153212556,Neurogene Inc,529900A7VIY892SZVW73,NEUROGENE INC,64135M105,372932,NS,,USD,5575333.4,,0.000291986416,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153217231,RE/MAX Holdings Inc,54930033W2KS56JHAN30,RE/MAX HOLDINGS,75524W108,607163,NS,,USD,4966593.34,,0.000260106021,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153216326,Urban Outfitters Inc,549300N3DUFR5U6NRN38,URBAN OUTFITTER,917047102,2070025,NS,,USD,150159613.5,,0.007864026108,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153213703,Pentair PLC,549300EVR9D56WPSRP15,PENTAIR PLC,G7S00T104,5274700,NS,,USD,541500702,,0.028358994531,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153214759,Kingstone Cos Inc,,KINGSTONE COS IN,496719105,290586,NS,,USD,4477930.26,,0.000234514192,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153213820,Caesars Entertainment Inc,549300FA4CTCW903Y781,CAESARS ENTERTAI,12769G100,6368126,NS,,USD,180791097.14,,0.009468231003,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153216789,Battalion Oil Corp,3XHTN2NNIMMPORDAMJ28,BATTALION OIL CO,07134L107,223426,NS,,USD,288219.54,,1.5094378e-05,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153212798,Sono-Tek Corp,,SONO-TEK CORP,835483108,162339,NS,,USD,616888.2,,3.2307121e-05,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153214308,Glen Burnie Bancorp,,GLEN BURNIE BNCP,377407101,14318,NS,,USD,71876.36,,3.764244e-06,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153214367,Ensign Group Inc/The,5493003K4HEEA8Q0BC72,ENSIGN GROUP INC,29358P101,1849076,NS,,USD,285238463.76,,0.014938255858,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153217642,VAALCO Energy Inc,549300CFHFVIWB8M6T24,VAALCO ENERGY,91851C201,3353157,NS,,USD,12104896.77,,0.000633946918,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153210220,Citizens Inc/TX,549300Z39SMLUE3VF522,CITIZENS INC,174740100,1404593,NS,,USD,4902029.57,,0.000256724745,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153212101,Sun Communities Inc,549300H5GEOJYN41ZG57,SUN COMMUNITIES,866674104,4109037,NS,,USD,519752090.13,,0.027219995518,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153209768,Rockwell Medical Inc,529900Y6YUB5X93MMD77,ROCKWELL MEDICAL,774374300,813395,NS,,USD,689758.96,,3.6123444e-05,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153212870,Donnelley Financial Solutions Inc,549300O1NPY4J56QCU04,DONNELLEY FINANC,25787G100,818433,NS,,USD,50456394.45,,0.002642457542,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153216084,E2open Parent Holdings Inc,,E2OPEN PARENT HO,29788T103,7951441,NS,,USD,25683154.43,,0.001345055386,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153216160,Okta Inc,549300N8J06I8MRHU620,OKTA INC,679295105,5381174,NS,,USD,537955964.78,,0.028173352697,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153218052,InvenTrust Properties Corp,5493006BQYSOBYVUFA03,INVENTRUST PROPE,46124J201,2499950,NS,,USD,68498630,,0.003587349501,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153214987,Omada Health Inc,,OMADA HEALTH INC,68170A108,38750,NS,,USD,709125,,3.7137665e-05,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153210736,American Axle & Manufacturing Holdings Inc,,AMER AXLE & MFG,024061103,3585234,NS,,USD,14627754.72,,0.000766071797,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153210193,Halozyme Therapeutics Inc,529900242I3SV9AGM753,HALOZYME THERAPE,40637H109,3969134,NS,,USD,206474350.68,,0.01081329158,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153209757,Interparfums Inc,,INTERPARFUMS INC,458334109,575739,NS,,USD,75600288.09,,0.003959271241,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153216894,TKO Group Holdings Inc,,TKO GROUP HOLDIN,87256C101,2110790,NS,,USD,384058240.5,,0.020113557566,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153216038,Yext Inc,5299008ZQSBBVH7K0589,YEXT INC,98585N106,3276939,NS,,USD,27853981.5,,0.001458744016,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153214161,Pfizer Inc,765LHXWGK1KXCLTFYQ30,PFIZER INC,717081103,182838511,NS,,USD,4432005506.64,,0.232109061835,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153216802,Finwise Bancorp,,FINWISE BANCORP,31813A109,271560,NS,,USD,4076115.6,,0.000213470711,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153209158,PB Bankshares Inc,,PB BANKSHARES IN,69318V103,52235,NS,,USD,922992.45,,4.8338142e-05,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153214046,Artesian Resources Corp,,ARTESIAN RES-A,043113208,281799,NS,,USD,9457174.44,,0.000495282752,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153210472,Olo Inc,,OLO INC - CL A,68134L109,3479997,NS,,USD,30971973.3,,0.001622036717,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153213227,Scotts Miracle-Gro Co/The,2TH9E0JTOUXOEGI2R879,SCOTTS MIRACLE,810186106,1390415,NS,,USD,91711773.4,,0.004803047661,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153212271,STAAR Surgical Co,5299006LRHI7OJ8BY308,STAAR SURGICAL,852312305,1156761,NS,,USD,19410449.58,,0.001016546851,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153211033,Western Alliance Bancorp,5493003VJXZ5JXT9S762,WESTERN ALLIANCE,957638109,3380928,NS,,USD,263644765.44,,0.01380736984,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153214843,Xtant Medical Holdings Inc,549300JOU6AK8387EW77,XTANT MEDICAL HO,98420P308,1532035,NS,,USD,1132173.87,,5.9293205e-05,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153216408,ElectroCore Inc,5493005O3QC5QV2L2186,ELECTROCORE INC,28531P202,143775,NS,,USD,759132,,3.9756587e-05,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153216806,ServisFirst Bancshares Inc,,SERVISFIRST BANC,81768T108,1575452,NS,,USD,122113284.52,,0.006395208639,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153215924,John Bean Technologies Corp,5493007CT6ATBZ2L6826,JBT MAREL CORP,477839104,1677955,NS,,USD,201790868.3,,0.010568012394,Long,EC,,CORP,,US,N,1,
0000036405-25-000128,153214817,Monro Inc,,MONRO INC,610236101,913249,NS,,USD,13616542.59,,0.000713113492,Long,EC,,CORP,,US,N,1,
