Company Name,Country,Description,Profile URL
Allison Transmission Holdings Inc,USA,A US manufacturer of transmissions for multiple Israeli military armored vehicles.,https://investigate.afsc.org/company/allison-transmission
Alony-Hetz Properties & Investments Ltd,Israel,"An Israeli investment firm. Its subsidiary Energix Renewable Energy has projects in the occupied West Bank and Golan Heights. Its subsidiary Amot Investments owns an industrial building in the occupied West Bank.",https://investigate.afsc.org/company/alony-hetz
Amir Marketing & Investments In Agriculture Ltd,Israel,An Israeli agricultural company that operates branches in two illegal settlements in the occupied West Bank.,https://investigate.afsc.org/company/amir-marketing-inv
Ashot-Ashkelon Industries Ltd,Israel,An Israeli weapons manufacturer that makes munitions and components for Israel's battle tanks.,https://investigate.afsc.org/company/ashot-ashkelon
Ashtrom Group Ltd,Israel,"One of Israel's largest construction and real estate companies. It has constructed housing units and large-scale infrastructure in illegal Israeli settlements, as well as parts of Israel's separation wall. It also operates a quarry and concrete plant in the occupied West Bank.",https://investigate.afsc.org/company/ashtrom-group
Axon Enterprise Inc,USA,"A US manufacturer of Tasers and other less-lethal weapons, used by the Israeli military and police and by US law and immigration enforcement authorities.",https://investigate.afsc.org/company/axon
B Communications Ltd,Israel,"An Israeli holding company with a controlling interest in Bezeq, Israel's largest telecommunications provider, which has infrastructure throughout the occupied West Bank and Golan Heights and provides telecommunication services to illegal Israeli settlements, military bases, and checkpoints.",https://investigate.afsc.org/company/b-communications
BAE Systems PLC,UK,The world's seventh-largest military contractor which manufactures multiple weapon systems routinely used in war crimes against Palestinians.,https://investigate.afsc.org/company/bae-systems
Bank Hapoalim BM,Israel,"One of Israel's largest banks, which is deeply involved in the expansion of Israel's illegal settlements in the occupied West Bank and Golan Heights.",https://investigate.afsc.org/company/bank-hapoalim
Bank Leumi Le-Israel BM,Israel,One of Israel's largest banks. It is deeply involved in the expansion of Israel's illegal settlements in the occupied Palestinian and Syrian territories.,https://investigate.afsc.org/company/bank-leumi-le-israel
Bank of Jerusalem Ltd,Israel,An Israeli bank that is deeply involved in the expansion of Israel's illegal settlements in the occupied West Bank.,https://investigate.afsc.org/company/bank-jerusalem
